Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion
File,"BaseConverter.java",,,,3,1,3,,14,,,
File,"BigDecimalConverter.java",,,,2,0,2,,15,,,
File,"BooleanConverter.java",,,,2,0,2,,14,,,
File,"CharArrayConverter.java",,,,1,0,1,,7,,,
File,"CommaParameterSplitter.java",,,,1,0,1,,8,,,
File,"Console.java",,,,3,0,3,,6,,,
File,"DefaultConsole.java",,,,5,1,5,,32,,,
File,"DefaultConverterFactory.java",,,,1,0,1,,52,,,
File,"DefaultListConverter.java",,,,2,2,2,,20,,,
File,"DefaultParameterizedParser.java",,,,1,0,1,,10,,,
File,"DefaultUsageFormatter.java",,,,12,1,15,,215,,,
File,"DoubleConverter.java",,,,2,0,2,,14,,,
File,"DynamicParameter.java",,,,9,0,9,,19,,,
File,"EnumConverter.java",,,,2,2,2,,25,,,
File,"EnvironmentVariableDefaultProvider.java",,,,4,2,4,,39,,,
File,"FileConverter.java",,,,1,0,1,,8,,,
File,"FloatConverter.java",,,,2,0,2,,14,,,
File,"FuzzyMap.java",,,,1,0,3,,48,,,
File,"IDefaultProvider.java",,,,1,0,1,,4,,,
File,"IParameterSplitter.java",,,,1,0,1,,5,,,
File,"IParameterValidator.java",,,,1,0,1,,4,,,
File,"IParameterValidator2.java",,,,1,0,1,,4,,,
File,"IParameterizedParser.java",,,,1,0,1,,5,,,
File,"ISO8601DateConverter.java",,,,2,0,2,,18,,,
File,"IStringConverter.java",,,,1,0,1,,4,,,
File,"IStringConverterFactory.java",,,,1,0,1,,4,,,
File,"IStringConverterInstanceFactory.java",,,,1,0,1,,4,,,
File,"IUsageFormatter.java",,,,6,0,6,,9,,,
File,"IValueValidator.java",,,,1,0,1,,4,,,
File,"IVariableArity.java",,,,1,0,1,,4,,,
File,"InetAddressConverter.java",,,,1,0,1,,14,,,
File,"IntegerConverter.java",,,,2,0,2,,14,,,
File,"JCommander.java",,,,117,40,122,,1036,,,
File,"JDK6Console.java",,,,4,2,4,,35,,,
File,"Lists.java",,,,0,0,6,,26,,,
File,"LongConverter.java",,,,2,0,2,,14,,,
File,"Maps.java",,,,0,0,3,,19,,,
File,"MissingCommandException.java",,,,3,1,3,,15,,,
File,"NoConverter.java",,,,1,0,1,,7,,,
File,"NoValidator.java",,,,1,0,1,,8,,,
File,"NoValueValidator.java",,,,1,0,1,,8,,,
File,"Nullable.java",,,,0,0,0,,9,,,
File,"Parameter.java",,,,17,0,17,,32,,,
File,"ParameterDescription.java",,,,35,13,35,,324,,,
File,"ParameterException.java",,,,6,1,6,,25,,,
File,"Parameterized.java",,,,15,5,21,,250,,,
